timestamp,user,reason
20221026 07:04:30.0,,Cancelled
20221026 07:04:40.0,,Cancelled
20221026 07:05:45.0,billycashier,Cancelled
20221026 07:08:56.0,,Cancelled
20221026 08:14:30.0,John,Timed out
20221026 08:15:48.0,John,Timed out
20221026 08:17:22.0,John,Timed out
20221026 08:18:37.0,John,Timed out
20221026 08:19:07.0,John,Timed out
20221026 08:19:33.0,John,Timed out
20221026 11:04:55.0,John,Timed out
20221026 11:08:12.0,John,Timed out
20221026 11:10:28.0,John,Timed out
20221026 11:13:07.0,John,Timed out
20221026 11:13:50.0,John,Timed out
20221026 11:15:19.0,John,Timed out
20221026 11:15:39.0,John,Timed out
20221026 11:16:18.0,John,Timed out
20221026 11:19:45.0,John,Timed out
20221026 11:24:47.0,John,Timed out
20221026 11:25:44.0,John,Timed out
20221027 00:25:40.0,,Cancelled
20221027 00:25:40.0,,Timed out
20221027 00:39:31.0,,Cancelled
20221027 00:39:31.0,,Timed out
20221027 01:19:58.0,,Cancelled
20221027 01:19:58.0,,Timed out
20221027 07:10:46.0,,Cancelled
20221027 07:10:46.0,,Timed out
20221027 08:15:54.0,,Cancelled
20221027 08:15:54.0,,Timed out
20221027 08:42:53.0,,Cancelled
20221027 09:36:14.0,,Timed out
20221027 12:06:43.0,billyowner,Cancelled
20221027 13:32:40.0,billy,Timed out
20221027 14:08:05.0,,Cancelled
20221028 11:58:03.0,billyowner,Timed out
20221104 01:37:57.0,John,Timed out
20221104 01:37:57.0,John,Timed out
20221104 01:37:57.0,John,Timed out
20221104 01:37:58.0,John,Timed out
20221104 01:38:04.0,John,Timed out
20221104 01:38:04.0,John,Timed out
20221104 01:56:28.0,John,Timed out
20221104 01:56:28.0,John,Timed out
20221104 01:56:28.0,John,Timed out
20221104 01:56:29.0,John,Timed out
20221104 01:56:35.0,John,Timed out
20221104 01:56:35.0,John,Timed out
20221104 01:57:47.0,John,Timed out
20221104 01:57:48.0,John,Timed out
20221104 01:57:48.0,John,Timed out
20221104 01:57:49.0,John,Timed out
20221104 01:57:55.0,John,Timed out
20221104 01:57:56.0,John,Timed out
20221104 05:29:24.0,John,Timed out
20221104 05:29:25.0,John,Timed out
20221104 05:29:25.0,John,Timed out
20221104 05:29:25.0,John,Timed out
20221104 05:29:32.0,John,Timed out
20221104 05:29:33.0,John,Timed out
